  0.142079994       3.61335613E-02   4.23864052E-02 -0.172917604    
   55.5532761       8.51656628       2.55507492E-02   2.63979146E-03
   55.6953583       8.52702618       2.55168658E-02   3.00213764E-03
   55.8374367       8.53740692       2.54829228E-02   1.98396668E-03
   55.9795189       8.54914856       2.54532043E-02  -6.47564745E-03
   56.1215973       8.56116581       2.54244544E-02   2.99823820E-03
   56.2636795       8.57277298       2.53946315E-02   1.05820550E-03
   56.4057579       8.58452702       2.53653992E-02  -3.43089079E-04
   56.5478363       8.59679031       2.53378116E-02  -2.08226778E-03
   56.6899185       8.60908127       2.53104400E-02   3.49003682E-03
   56.8319969       8.62266636       2.52870061E-02  -8.27938027E-04
   56.9740791       8.63654423       2.52645425E-02   1.46799139E-03
   57.1161575       8.64953041       2.52395887E-02  -2.07963400E-03
   57.2582359       8.66216373       2.52137352E-02   1.21231179E-03
   57.4003181       8.67600632       2.51915157E-02  -1.19109824E-03
   57.5423965       8.69020271       2.51704324E-02   1.85990310E-03
   57.6844788       8.70420647       2.51488984E-02  -6.82022364E-04
   57.8265572       8.71724415       2.51246840E-02   4.63228469E-04
   57.9686394       8.72865105       2.50959005E-02   2.25054409E-05
   58.1107178       8.73995209       2.50669532E-02   1.67247921E-03
   58.2527962       8.75018787       2.50351001E-02   9.95452632E-04
   58.3948784       8.76093864       2.50048731E-02  -3.32292798E-03
   58.5369568       8.77068329       2.49719266E-02   3.36062699E-03
   58.6790390       8.77911854       2.49354206E-02  -3.96700925E-04
   58.8211174       8.78790569       2.49000881E-02  -2.95293611E-03
   58.9631958       8.79719257       2.48663388E-02  -2.14225124E-03
   59.1052780       8.80616856       2.48318743E-02   8.63582012E-04
   59.2473564       8.81488895       2.47968566E-02   2.90115131E-03
   59.3894386       8.82364464       2.47621033E-02   4.01981454E-03
   59.5315170       8.83178425       2.47257948E-02  -1.04896002E-03
   59.6735992       8.83935642       2.46880706E-02   5.29615628E-03
   59.8156776       8.84823608       2.46541724E-02  -1.56445091E-03
   59.9577560       8.85921192       2.46262625E-02  -6.89832596E-05
   60.0998383       8.87300491       2.46062912E-02  -1.59559818E-03
   60.2419167       8.88678360       2.45863777E-02   6.63311745E-04
   60.3839989       8.90104294       2.45678853E-02  -2.26059742E-03
   60.5260773       8.91583824       2.45509557E-02   1.28028507E-04
   60.6681557       8.93043709       2.45335661E-02  -1.64122670E-03
   60.8102379       8.94344616       2.45118979E-02  -1.10519223E-03
   60.9523163       8.95534992       2.44873110E-02   9.79027827E-04
   61.0943985       8.96575737       2.44587529E-02   4.30637598E-03
   61.2364769       8.97312260       2.44220532E-02   8.70982010E-04
   61.3785591       8.98162365       2.43886020E-02  -6.99693477E-03
   61.5206375       8.99058056       2.43565422E-02   4.55271313E-03
   61.6627159       8.99895000       2.43230462E-02  -3.08563793E-03
   61.8047981       9.00699806       2.42888313E-02   2.42340751E-03
   61.9468765       9.01428795       2.42527369E-02  -7.31252879E-03
   62.0889587       9.02300930       2.42206492E-02   2.15418474E-03
   62.2310371       9.03112984       2.41870992E-02  -2.86612310E-04
